geracao,melhor_fitness,fitness_medio,pior_fitness
1,102,-69.2875,-111
2,200,-37.3375,-108
3,219,-21.675,-108
4,219,-36.125,-109
5,232,-18.1375,-109
6,1555,17.3875,-108
7,1555,3.6875,-108
8,1555,1.125,-108
9,1555,2.6,-108
10,1555,0.2125,-108
11,1555,3.0875,-108
12,1555,7.55,-108
13,1555,12.6625,-108
14,1555,29.65,-108
15,1555,26.1375,-108
16,1555,34.3125,-109
17,1555,59.6375,-109
18,1555,39.9375,-109
19,1555,39.1625,-108
20,1555,32.1,-110
21,1555,45.175,-110
22,1555,23.475,-110
23,1555,28.8875,-109
24,1555,30.7,-109
25,1555,39.85,-110
26,1555,30.4625,-110
27,1556,70.45,-110
28,1556,49.725,-110
29,1557,75.425,-110
30,1557,37.05,-109
31,1557,31.6875,-110
32,1557,49.9375,-110
33,1558,93.175,-108
34,1558,65.8,-108
35,1558,63.7625,-108
36,1560,49.825,-110
37,1560,55.35,-108
38,1560,62.35,-110
39,1560,73.9125,-108
40,1560,79.1625,-108
41,1560,70.3375,-108
42,1560,43.7,-109
43,1560,61.3,-109
44,1560,23.0375,-110
45,1560,35.2875,-110
46,1560,37.15,-108
47,1560,57.775,-110
48,1560,61.425,-108
49,1560,56.5375,-108
50,1560,36.075,-108
51,1560,54.3125,-110
52,1560,50.1875,-110
53,1560,40.65,-109
54,1560,31.2,-109
55,1560,34.7625,-109
56,1560,38.5,-110
57,1560,30.1375,-108
58,1560,47.775,-108
59,1560,36.8,-110
60,1560,48.5125,-110
61,1560,53.3,-108
62,1560,30.575,-108
63,1560,25.7375,-108
64,1560,40.0375,-108
65,1560,59.0375,-108
66,1560,37.775,-109
67,1560,38.2375,-108
68,1560,45.125,-108
69,1560,44.075,-109
70,1560,31.8125,-108
71,1560,36.0625,-110
72,1560,29.2125,-110
73,1560,10.5,-109
74,1560,56.35,-108
75,1560,22.4,-110
76,1560,33.8625,-110
77,1560,52.0375,-109
78,1560,32.6875,-108
79,1560,22.7375,-108
80,1560,44.1875,-107
81,1560,71.2625,-108
82,1560,24.3375,-108
83,1560,29.3125,-110
84,1560,22.425,-108
85,1560,30.6375,-108
86,1560,33.6,-110
87,1560,28.85,-110
88,1560,33.7,-108
89,1560,14.15,-108
90,1560,42.925,-108
91,1560,54.775,-110
92,1560,37.9,-110
93,1560,29.9625,-109
94,1560,39.4875,-109
95,1560,43.0625,-108
96,1560,37.475,-109
97,1560,25.125,-110
98,1560,61.7875,-110
99,1560,42.0,-110
100,1560,27.975,-108
